"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"TONGE70.IN2-195","FEAS","SUB",34,18,15,15,600.05,1314315,8152925,"PA1"
"TONGE70.IN2-207","FEAS","OPT",18,17,0,0,600.01,1346459,24504226,"PA1"
"TONGE70.IN2-220","FEAS","OPT",17,16,0,0,600.01,1640979,24406034,"PA1"
"TONGE70.IN2-234","FEAS","OPT",16,15,0,0,600.01,885165,28083172,"PA1"
"TONGE70.IN2-251","FEAS","SUB",15,14,1,1,600,1860415,19726482,"PA1"
"TONGE70.IN2-270","FEAS","OPT",14,13,0,0,600,841625,21783374,"PA1"
"TONGE70.IN2-293","FEAS","OPT",13,12,0,0,600,1755724,27641837,"PA1"
"TONGE70.IN2-320","PROV","OPT",11,11,0,0,175.72,225769,6611076,"PA1"
"TONGE70.IN2-364","PROV","OPT",10,10,0,0,0.68,407,18496,"PA1"
"TONGE70.IN2-410","PROV","OPT",9,9,0,0,0.22,0,1576,"PA1"
"TONGE70.IN2-468","PROV","OPT",8,8,0,0,0.18,0,1049,"PA1"
"TONGE70.IN2-527","PROV","OPT",7,7,0,0,0.18,0,1078,"PA1"
"WARNECKE.IN2-54","FEAS","SUB",34,29,3,3,600.04,733706,13713303,"PA1"
"WARNECKE.IN2-56","FEAS","SUB",31,29,2,2,600.05,946401,9016785,"PA1"
"WARNECKE.IN2-58","FEAS","OPT",29,28,0,0,600.01,1417683,17305369,"PA1"
"WARNECKE.IN2-60","FEAS","SUB",31,26,4,4,600.03,385846,15900712,"PA1"
"WARNECKE.IN2-62","FEAS","SUB",29,25,2,2,600.05,463171,17660927,"PA1"
"WARNECKE.IN2-65","FEAS","SUB",26,24,1,1,600.03,998752,15450043,"PA1"
"WARNECKE.IN2-68","FEAS","OPT",24,23,0,0,600.01,1251582,19172031,"PA1"
"WARNECKE.IN2-71","FEAS","OPT",23,22,0,0,600,61778,15010094,"PA1"
"WARNECKE.IN2-74","FEAS","OPT",22,21,0,0,600.02,1238023,25626409,"PA1"
"WARNECKE.IN2-78","FEAS","OPT",21,20,0,0,600.01,1448139,23383984,"PA1"
"WARNECKE.IN2-82","FEAS","SUB",22,20,2,2,600.13,176676,12942580,"PA1"
"WARNECKE.IN2-86","FEAS","OPT",19,18,0,0,600.01,706444,27685727,"PA1"
"WARNECKE.IN2-92","PROV","OPT",17,17,0,0,318.56,524524,10310147,"PA1"
"WARNECKE.IN2-97","PROV","OPT",17,17,0,0,119.5,237866,3626604,"PA1"
"WARNECKE.IN2-104","PROV","OPT",15,15,0,0,17.65,27137,369712,"PA1"
"WARNECKE.IN2-111","PROV","OPT",14,14,0,0,94.59,255656,4223257,"PA1"
"WEE-MAG.IN2-28","PROV","OPT",63,63,0,0,17.79,14272,217042,"PA1"
"WEE-MAG.IN2-29","PROV","OPT",63,63,0,0,32.93,8905,591354,"PA1"
"WEE-MAG.IN2-30","PROV","OPT",62,62,0,0,8.3,1629,85366,"PA1"
"WEE-MAG.IN2-31","PROV","OPT",62,62,0,0,4.97,1128,62522,"PA1"
